"filename", "language", "PHP", "JSON", "YAML", "XML", "Markdown", "MS SQL", "PostCSS", "JavaScript", "comment", "blank", "total"
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/.travis.yml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/README.md", "Markdown", 0, 0, 0, 0, 232, 0, 0, 0, 0, 82, 314
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/composer.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/phpunit.xml", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/psalm.xml", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 1, 5, 29
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/BadRouteException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/DataGenerator.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 16, 4, 27
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/DataGenerator/CharCountBased.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/DataGenerator/GroupCountBased.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/DataGenerator/GroupPosBased.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/DataGenerator/MarkBased.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/DataGenerator/RegexBasedAbstract.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 0, 32, 28, 187
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Dispatcher.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 14, 4, 27
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Dispatcher/CharCountBased.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Dispatcher/GroupCountBased.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Dispatcher/GroupPosBased.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Dispatcher/MarkBased.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Dispatcher/RegexBasedAbstract.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 9, 16, 89
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/Route.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 19, 8, 48
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/RouteCollector.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 79, 15, 153
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/RouteParser.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 29, 3, 38
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/RouteParser/Std.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 13, 12, 88
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/bootstrap.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/src/functions.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 14, 11, 75
"/home/whuang/wpfgp.org/public_html/playoffs/vendor/nikic/fast-route/test/Dispatcher/CharCountBasedTest.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
